Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d01aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc01.txt,399,1001,254,1,25.374625374625374,63.659147869674186,36.285714285714285,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d01aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc01.txt,398,1000,59,2,5.9,14.824120603015075,8.440629470672391,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d01aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc01.txt,397,999,14,3,1.4014014014014013,3.526448362720403,2.005730659025788,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d02aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc02.txt,398,1370,218,1,15.912408759124087,54.77386934673367,24.660633484162897,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d02aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc02.txt,397,1369,47,2,3.4331628926223523,11.838790931989925,5.322763306908268,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d02aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc02.txt,396,1368,14,3,1.023391812865497,3.5353535353535355,1.5873015873015872,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d03aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc03.txt,398,443,162,1,36.56884875846501,40.7035175879397,38.525564803805,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d03aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc03.txt,397,442,27,2,6.108597285067873,6.801007556675063,6.4362336114421925,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d03aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc03.txt,396,441,5,3,1.1337868480725624,1.2626262626262625,1.194743130227001,
/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Benchmark/d04aa.txt,/Users/himanshujindal/Downloads/Summaries - Multi-Doc Split/Summaries/Gen_sum/doc04.txt,398,164,77,1,46.951219512195124,19.34673366834171,27.402135231316727,
