Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-1.txt_Jac.txt,102,121,40,1,33.05785123966942,39.21568627450981,35.874439461883405,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-1.txt_Jac.txt,101,120,18,2,15.0,17.821782178217823,16.289592760180998,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-1.txt_Jac.txt,100,119,13,3,10.92436974789916,13.0,11.87214611872146,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-10.txt_Jac.txt,101,69,36,1,52.17391304347826,35.64356435643565,42.35294117647059,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-10.txt_Jac.txt,100,68,15,2,22.058823529411764,15.0,17.857142857142854,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-10.txt_Jac.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-100.txt_Jac.txt,95,457,52,1,11.37855579868709,54.73684210526316,18.840579710144926,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-100.txt_Jac.txt,94,456,15,2,3.289473684210526,15.957446808510639,5.454545454545454,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-100.txt_Jac.txt,93,455,7,3,1.5384615384615385,7.526881720430108,2.5547445255474455,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-101.txt_Jac.txt,100,86,32,1,37.2093023255814,32.0,34.40860215053763,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-101.txt_Jac.txt,99,85,9,2,10.588235294117647,9.090909090909092,9.782608695652174,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-101.txt_Jac.txt,98,84,6,3,7.142857142857143,6.122448979591836,6.593406593406593,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-102.txt_Jac.txt,100,149,52,1,34.899328859060404,52.0,41.76706827309237,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-102.txt_Jac.txt,99,148,21,2,14.18918918918919,21.21212121212121,17.004048582995953,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-102.txt_Jac.txt,98,147,15,3,10.204081632653061,15.306122448979592,12.244897959183675,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-103.txt_Jac.txt,102,181,51,1,28.176795580110497,50.0,36.042402826855124,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-103.txt_Jac.txt,101,180,23,2,12.777777777777779,22.77227722772277,16.370106761565836,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-103.txt_Jac.txt,100,179,17,3,9.497206703910615,17.0,12.186379928315414,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-104.txt_Jac.txt,99,133,54,1,40.6015037593985,54.54545454545455,46.55172413793104,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-104.txt_Jac.txt,98,132,30,2,22.727272727272727,30.612244897959183,26.08695652173913,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-104.txt_Jac.txt,97,131,23,3,17.557251908396946,23.711340206185568,20.175438596491226,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-105.txt_Jac.txt,100,71,41,1,57.74647887323944,41.0,47.953216374269005,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-105.txt_Jac.txt,99,70,29,2,41.42857142857143,29.292929292929294,34.31952662721894,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-105.txt_Jac.txt,98,69,26,3,37.68115942028985,26.53061224489796,31.137724550898206,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-106.txt_Jac.txt,96,170,45,1,26.470588235294116,46.875,33.83458646616541,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-106.txt_Jac.txt,95,169,15,2,8.875739644970414,15.789473684210526,11.363636363636365,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-106.txt_Jac.txt,94,168,10,3,5.9523809523809526,10.638297872340425,7.633587786259541,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-107.txt_Jac.txt,103,179,56,1,31.28491620111732,54.36893203883495,39.716312056737586,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-107.txt_Jac.txt,102,178,25,2,14.044943820224718,24.50980392156863,17.857142857142858,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-107.txt_Jac.txt,101,177,16,3,9.03954802259887,15.841584158415841,11.510791366906474,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-108.txt_Jac.txt,102,619,71,1,11.470113085621971,69.6078431372549,19.69486823855756,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-108.txt_Jac.txt,101,618,37,2,5.9870550161812295,36.633663366336634,10.292072322670375,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-108.txt_Jac.txt,100,617,23,3,3.727714748784441,23.0,6.4156206415620645,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-109.txt_Jac.txt,104,41,27,1,65.85365853658537,25.96153846153846,37.24137931034482,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-109.txt_Jac.txt,103,40,16,2,40.0,15.533980582524272,22.377622377622377,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-109.txt_Jac.txt,102,39,11,3,28.205128205128204,10.784313725490197,15.602836879432626,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-11.txt_Jac.txt,101,146,59,1,40.41095890410959,58.415841584158414,47.77327935222672,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-11.txt_Jac.txt,100,145,31,2,21.379310344827587,31.0,25.306122448979593,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-11.txt_Jac.txt,99,144,23,3,15.972222222222221,23.232323232323232,18.930041152263374,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-110.txt_Jac.txt,102,31,22,1,70.96774193548387,21.568627450980394,33.0827067669173,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-110.txt_Jac.txt,101,30,13,2,43.333333333333336,12.871287128712872,19.847328244274813,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-110.txt_Jac.txt,100,29,10,3,34.48275862068966,10.0,15.503875968992247,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-111.txt_Jac.txt,98,87,48,1,55.172413793103445,48.97959183673469,51.891891891891895,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Jac/Doc-111.txt_Jac.txt,97,86,31,2,36.04651162790697,31.95876288659794,33.87978142076502,
