Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-1.txt_Rada.txt,102,166,47,1,28.313253012048193,46.07843137254902,35.07462686567164,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-1.txt_Rada.txt,101,165,19,2,11.515151515151516,18.81188118811881,14.285714285714286,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-1.txt_Rada.txt,100,164,13,3,7.926829268292683,13.0,9.84848484848485,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-10.txt_Rada.txt,101,69,36,1,52.17391304347826,35.64356435643565,42.35294117647059,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-10.txt_Rada.txt,100,68,15,2,22.058823529411764,15.0,17.857142857142854,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-10.txt_Rada.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-100.txt_Rada.txt,95,482,52,1,10.78838174273859,54.73684210526316,18.024263431542465,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-100.txt_Rada.txt,94,481,15,2,3.1185031185031185,15.957446808510639,5.217391304347826,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-100.txt_Rada.txt,93,480,7,3,1.4583333333333333,7.526881720430108,2.4432809773123907,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-101.txt_Rada.txt,100,105,36,1,34.285714285714285,36.0,35.1219512195122,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-101.txt_Rada.txt,99,104,9,2,8.653846153846153,9.090909090909092,8.866995073891625,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-101.txt_Rada.txt,98,103,6,3,5.825242718446602,6.122448979591836,5.970149253731343,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-102.txt_Rada.txt,100,204,66,1,32.35294117647059,66.0,43.421052631578945,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-102.txt_Rada.txt,99,203,33,2,16.25615763546798,33.333333333333336,21.854304635761586,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-102.txt_Rada.txt,98,202,28,3,13.861386138613861,28.571428571428573,18.666666666666664,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-103.txt_Rada.txt,102,210,53,1,25.238095238095237,51.96078431372549,33.97435897435898,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-103.txt_Rada.txt,101,209,23,2,11.004784688995215,22.77227722772277,14.838709677419358,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-103.txt_Rada.txt,100,208,17,3,8.173076923076923,17.0,11.03896103896104,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-104.txt_Rada.txt,99,133,53,1,39.849624060150376,53.535353535353536,45.689655172413794,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-104.txt_Rada.txt,98,132,30,2,22.727272727272727,30.612244897959183,26.08695652173913,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-104.txt_Rada.txt,97,131,23,3,17.557251908396946,23.711340206185568,20.175438596491226,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-105.txt_Rada.txt,100,81,41,1,50.617283950617285,41.0,45.30386740331491,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-105.txt_Rada.txt,99,80,28,2,35.0,28.282828282828284,31.28491620111732,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-105.txt_Rada.txt,98,79,25,3,31.645569620253166,25.510204081632654,28.24858757062147,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-106.txt_Rada.txt,96,189,67,1,35.44973544973545,69.79166666666667,47.01754385964912,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-106.txt_Rada.txt,95,188,46,2,24.46808510638298,48.421052631578945,32.50883392226148,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-106.txt_Rada.txt,94,187,40,3,21.390374331550802,42.5531914893617,28.469750889679716,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-107.txt_Rada.txt,103,205,60,1,29.26829268292683,58.25242718446602,38.961038961038966,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-107.txt_Rada.txt,102,204,26,2,12.745098039215685,25.49019607843137,16.993464052287578,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-107.txt_Rada.txt,101,203,17,3,8.374384236453203,16.831683168316832,11.184210526315791,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-108.txt_Rada.txt,102,737,77,1,10.447761194029852,75.49019607843137,18.35518474374255,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-108.txt_Rada.txt,101,736,47,2,6.385869565217392,46.53465346534654,11.230585424133812,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NAV_Rada/Doc-108.txt_Rada.txt,100,735,31,3,4.217687074829932,31.0,7.425149700598802,
