Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-1.txt_Jac.txt,102,136,55,1,40.44117647058823,53.92156862745098,46.21848739495798,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-1.txt_Jac.txt,101,135,32,2,23.703703703703702,31.683168316831683,27.11864406779661,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-1.txt_Jac.txt,100,134,24,3,17.91044776119403,24.0,20.51282051282051,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-10.txt_Jac.txt,101,69,35,1,50.72463768115942,34.65346534653465,41.1764705882353,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-10.txt_Jac.txt,100,68,13,2,19.11764705882353,13.0,15.476190476190476,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-10.txt_Jac.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-100.txt_Jac.txt,95,479,67,1,13.987473903966597,70.52631578947368,23.344947735191635,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-100.txt_Jac.txt,94,478,24,2,5.02092050209205,25.53191489361702,8.391608391608392,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-100.txt_Jac.txt,93,477,14,3,2.9350104821802936,15.053763440860216,4.912280701754387,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-101.txt_Jac.txt,100,88,25,1,28.40909090909091,25.0,26.595744680851066,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-101.txt_Jac.txt,99,87,2,2,2.2988505747126435,2.0202020202020203,2.1505376344086016,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-101.txt_Jac.txt,98,86,0,3,0.0,0.0,NaN,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-102.txt_Jac.txt,100,102,63,1,61.76470588235294,63.0,62.37623762376237,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-102.txt_Jac.txt,99,101,53,2,52.475247524752476,53.535353535353536,53.00000000000001,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-102.txt_Jac.txt,98,100,46,3,46.0,46.93877551020408,46.46464646464647,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-103.txt_Jac.txt,102,168,42,1,25.0,41.1764705882353,31.111111111111107,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-103.txt_Jac.txt,101,167,14,2,8.383233532934131,13.861386138613861,10.44776119402985,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-103.txt_Jac.txt,100,166,9,3,5.421686746987952,9.0,6.7669172932330826,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-104.txt_Jac.txt,99,125,77,1,61.6,77.77777777777777,68.75,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-104.txt_Jac.txt,98,124,63,2,50.806451612903224,64.28571428571429,56.756756756756765,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-104.txt_Jac.txt,97,123,55,3,44.71544715447155,56.70103092783505,50.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-105.txt_Jac.txt,100,71,40,1,56.33802816901409,40.0,46.78362573099416,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-105.txt_Jac.txt,99,70,28,2,40.0,28.282828282828284,33.13609467455621,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-105.txt_Jac.txt,98,69,25,3,36.231884057971016,25.510204081632654,29.940119760479046,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-106.txt_Jac.txt,96,165,67,1,40.60606060606061,69.79166666666667,51.34099616858237,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-106.txt_Jac.txt,95,164,45,2,27.4390243902439,47.36842105263158,34.74903474903475,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-106.txt_Jac.txt,94,163,40,3,24.539877300613497,42.5531914893617,31.1284046692607,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-107.txt_Jac.txt,103,204,62,1,30.392156862745097,60.19417475728155,40.390879478827365,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-107.txt_Jac.txt,102,203,33,2,16.25615763546798,32.35294117647059,21.639344262295083,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-107.txt_Jac.txt,101,202,26,3,12.871287128712872,25.742574257425744,17.16171617161716,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-108.txt_Jac.txt,102,615,71,1,11.544715447154472,69.6078431372549,19.804741980474198,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-108.txt_Jac.txt,101,614,37,2,6.026058631921824,36.633663366336634,10.349650349650348,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-108.txt_Jac.txt,100,613,23,3,3.7520391517128875,23.0,6.451612903225807,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-109.txt_Jac.txt,104,41,27,1,65.85365853658537,25.96153846153846,37.24137931034482,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-109.txt_Jac.txt,103,40,16,2,40.0,15.533980582524272,22.377622377622377,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-109.txt_Jac.txt,102,39,11,3,28.205128205128204,10.784313725490197,15.602836879432626,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-11.txt_Jac.txt,101,143,61,1,42.65734265734266,60.396039603960396,50.00000000000001,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-11.txt_Jac.txt,100,142,32,2,22.535211267605632,32.0,26.446280991735534,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-11.txt_Jac.txt,99,141,24,3,17.02127659574468,24.242424242424242,20.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Jac/Doc-110.txt_Jac.txt,102,28,23,1,82.14285714285714,22.54901960784314,35.38461538461539,
