Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-1.txt_Rada.txt,102,159,58,1,36.477987421383645,56.86274509803921,44.44444444444444,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-1.txt_Rada.txt,101,158,31,2,19.620253164556964,30.693069306930692,23.938223938223942,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-1.txt_Rada.txt,100,157,23,3,14.64968152866242,23.0,17.898832684824903,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-10.txt_Rada.txt,101,69,36,1,52.17391304347826,35.64356435643565,42.35294117647059,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-10.txt_Rada.txt,100,68,15,2,22.058823529411764,15.0,17.857142857142854,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-10.txt_Rada.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-100.txt_Rada.txt,95,509,66,1,12.966601178781925,69.47368421052632,21.854304635761586,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-100.txt_Rada.txt,94,508,24,2,4.724409448818897,25.53191489361702,7.973421926910299,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-100.txt_Rada.txt,93,507,14,3,2.7613412228796843,15.053763440860216,4.666666666666666,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-101.txt_Rada.txt,100,129,73,1,56.58914728682171,73.0,63.75545851528384,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-101.txt_Rada.txt,99,128,58,2,45.3125,58.58585858585859,51.10132158590309,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-101.txt_Rada.txt,98,127,51,3,40.15748031496063,52.04081632653061,45.333333333333336,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-102.txt_Rada.txt,100,181,74,1,40.88397790055249,74.0,52.66903914590748,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-102.txt_Rada.txt,99,180,55,2,30.555555555555557,55.55555555555556,39.42652329749104,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-102.txt_Rada.txt,98,179,47,3,26.256983240223462,47.95918367346939,33.935018050541515,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-103.txt_Rada.txt,102,196,48,1,24.489795918367346,47.05882352941177,32.214765100671144,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-103.txt_Rada.txt,101,195,17,2,8.717948717948717,16.831683168316832,11.486486486486484,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-103.txt_Rada.txt,100,194,10,3,5.154639175257732,10.0,6.802721088435375,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-104.txt_Rada.txt,99,136,79,1,58.088235294117645,79.79797979797979,67.23404255319149,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-104.txt_Rada.txt,98,135,64,2,47.407407407407405,65.3061224489796,54.93562231759656,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-104.txt_Rada.txt,97,134,56,3,41.791044776119406,57.7319587628866,48.48484848484849,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-105.txt_Rada.txt,100,81,41,1,50.617283950617285,41.0,45.30386740331491,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-105.txt_Rada.txt,99,80,29,2,36.25,29.292929292929294,32.402234636871505,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-105.txt_Rada.txt,98,79,26,3,32.91139240506329,26.53061224489796,29.37853107344633,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-106.txt_Rada.txt,96,177,67,1,37.85310734463277,69.79166666666667,49.08424908424909,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-106.txt_Rada.txt,95,176,46,2,26.136363636363637,48.421052631578945,33.94833948339483,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-106.txt_Rada.txt,94,175,40,3,22.857142857142858,42.5531914893617,29.739776951672862,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-107.txt_Rada.txt,103,208,61,1,29.326923076923077,59.22330097087379,39.228295819935695,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-107.txt_Rada.txt,102,207,31,2,14.97584541062802,30.392156862745097,20.06472491909385,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-107.txt_Rada.txt,101,206,22,3,10.679611650485437,21.782178217821784,14.332247557003258,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-108.txt_Rada.txt,102,696,81,1,11.637931034482758,79.41176470588235,20.30075187969925,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-108.txt_Rada.txt,101,695,54,2,7.76978417266187,53.46534653465346,13.567839195979898,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-108.txt_Rada.txt,100,694,38,3,5.475504322766571,38.0,9.571788413098238,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-109.txt_Rada.txt,104,41,27,1,65.85365853658537,25.96153846153846,37.24137931034482,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-109.txt_Rada.txt,103,40,16,2,40.0,15.533980582524272,22.377622377622377,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-109.txt_Rada.txt,102,39,11,3,28.205128205128204,10.784313725490197,15.602836879432626,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-11.txt_Rada.txt,101,151,65,1,43.04635761589404,64.35643564356435,51.58730158730158,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-11.txt_Rada.txt,100,150,34,2,22.666666666666668,34.0,27.2,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-11.txt_Rada.txt,99,149,24,3,16.107382550335572,24.242424242424242,19.35483870967742,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-110.txt_Rada.txt,102,28,23,1,82.14285714285714,22.54901960784314,35.38461538461539,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-110.txt_Rada.txt,101,27,20,2,74.07407407407408,19.801980198019802,31.25,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-110.txt_Rada.txt,100,26,17,3,65.38461538461539,17.0,26.984126984126988,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-111.txt_Rada.txt,98,94,60,1,63.829787234042556,61.224489795918366,62.5,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-111.txt_Rada.txt,97,93,43,2,46.236559139784944,44.329896907216494,45.263157894736835,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-111.txt_Rada.txt,96,92,34,3,36.95652173913044,35.416666666666664,36.17021276595745,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-112.txt_Rada.txt,102,99,51,1,51.515151515151516,50.0,50.746268656716424,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-112.txt_Rada.txt,101,98,33,2,33.673469387755105,32.67326732673267,33.165829145728644,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-112.txt_Rada.txt,100,97,28,3,28.8659793814433,28.0,28.426395939086294,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-113.txt_Rada.txt,103,190,75,1,39.473684210526315,72.81553398058253,51.19453924914676,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-113.txt_Rada.txt,102,189,52,2,27.513227513227513,50.98039215686274,35.738831615120276,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-113.txt_Rada.txt,101,188,44,3,23.404255319148938,43.56435643564357,30.44982698961938,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-114-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-114.txt_Rada.txt,99,59,46,1,77.96610169491525,46.464646464646464,58.22784810126583,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-114-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NA_Rada/Doc-114.txt_Rada.txt,98,58,39,2,67.24137931034483,39.795918367346935,50.0,
