Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-1.txt_Dice.txt,102,120,46,1,38.333333333333336,45.09803921568628,41.44144144144145,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-1.txt_Dice.txt,101,119,20,2,16.80672268907563,19.801980198019802,18.181818181818183,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-1.txt_Dice.txt,100,118,13,3,11.016949152542374,13.0,11.926605504587156,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-10.txt_Dice.txt,101,69,35,1,50.72463768115942,34.65346534653465,41.1764705882353,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-10.txt_Dice.txt,100,68,13,2,19.11764705882353,13.0,15.476190476190476,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-10.txt_Dice.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-100.txt_Dice.txt,95,458,53,1,11.572052401746724,55.78947368421053,19.16817359855334,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-100.txt_Dice.txt,94,457,14,2,3.063457330415755,14.893617021276595,5.081669691470055,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-100.txt_Dice.txt,93,456,7,3,1.5350877192982457,7.526881720430108,2.5500910746812386,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-101.txt_Dice.txt,100,86,32,1,37.2093023255814,32.0,34.40860215053763,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-101.txt_Dice.txt,99,85,9,2,10.588235294117647,9.090909090909092,9.782608695652174,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-101.txt_Dice.txt,98,84,6,3,7.142857142857143,6.122448979591836,6.593406593406593,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-102.txt_Dice.txt,100,149,42,1,28.187919463087248,42.0,33.734939759036145,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-102.txt_Dice.txt,99,148,4,2,2.7027027027027026,4.040404040404041,3.2388663967611335,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-102.txt_Dice.txt,98,147,0,3,0.0,0.0,NaN,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-103.txt_Dice.txt,102,178,49,1,27.528089887640448,48.03921568627451,35.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Dice/Doc-103.txt_Dice.txt,101,177,24,2,13.559322033898304,23.762376237623762,17.26618705035971,
