Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-1.txt_Rada.txt,102,165,48,1,29.09090909090909,47.05882352941177,35.955056179775276,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-1.txt_Rada.txt,101,164,19,2,11.585365853658537,18.81188118811881,14.339622641509434,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-1.txt_Rada.txt,100,163,13,3,7.975460122699387,13.0,9.88593155893536,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-10.txt_Rada.txt,101,69,36,1,52.17391304347826,35.64356435643565,42.35294117647059,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-10.txt_Rada.txt,100,68,15,2,22.058823529411764,15.0,17.857142857142854,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-10.txt_Rada.txt,99,67,10,3,14.925373134328359,10.1010101010101,12.048192771084338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-100.txt_Rada.txt,95,458,54,1,11.790393013100436,56.8421052631579,19.529837251356238,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-100.txt_Rada.txt,94,457,14,2,3.063457330415755,14.893617021276595,5.081669691470055,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-100.txt_Rada.txt,93,456,7,3,1.5350877192982457,7.526881720430108,2.5500910746812386,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-101.txt_Rada.txt,100,104,35,1,33.65384615384615,35.0,34.31372549019608,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-101.txt_Rada.txt,99,103,8,2,7.766990291262136,8.080808080808081,7.920792079207921,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-101.txt_Rada.txt,98,102,6,3,5.882352941176471,6.122448979591836,6.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-102.txt_Rada.txt,100,218,58,1,26.605504587155963,58.0,36.47798742138365,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-102.txt_Rada.txt,99,217,18,2,8.294930875576037,18.181818181818183,11.39240506329114,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-102.txt_Rada.txt,98,216,13,3,6.018518518518518,13.26530612244898,8.280254777070063,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-103.txt_Rada.txt,102,206,52,1,25.24271844660194,50.98039215686274,33.76623376623377,
/Users/himanshujindal/Downloads/Summaries_BenchMark/DUC/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/DUC/NV_Rada/Doc-103.txt_Rada.txt,101,205,23,2,11.21951219512195,22.77227722772277,15.032679738562093,
