Cos,500,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,
1,23.30572056,58.16233325,30.62568783,,,,,,,,,,,,,,
2,10.49823541,24.98043328,13.49446993,,,,,,,,,,,,,,
3,6.687318446,15.10543498,8.411842431,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Hub,500,,,,,Rada Mihalcea,,,Jaccard,,,Dice,,,Cos,,
n,avgprec,avgrec,avgfmeas,,N,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure
1,24.73786335,55.57477152,31.04811299,,1,23.43%,59.06%,30.79405888,24.47%,56.38%,31.26%,24.32%,56.46%,31.12%,23.31%,58.16%,30.63%
2,11.07816449,23.74565968,13.53730883,,2,11%,26.08%,13.99803664,11%,23.93%,13.72%,11%,23.94%,13.64%,10%,24.98%,13.49%
3,7.072570445,14.44597877,8.450216194,,3,7.06%,15.92%,8.854758072,7.17%,14.43%,8.59%,7.11%,14.44%,8.54%,6.69%,15.11%,8.41%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Cat,500,,,,,Hub Scores,,,Authority Scores,,,,,,,,
n,avgprec,avgrec,avgfmeas,,N,Precision,Recall,FMeasure,Precision,Recall,FMeasure,,,,,,
1,23.05177224,60.08188729,30.75828047,,1,24.74,55.57,31.05,23.05,60.08,30.76,,,,,,
2,11.02743409,27.25317748,14.37806377,,2,11.08,23.75,13.54,11.03,27.25,14.38,,,,,,
3,7.260208929,16.96650096,9.25994586,,3,7.07,14.45,8.45,7.26,16.97,9.26,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rada,500,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,
1,23.43187271,59.05770111,30.79405888,,,,,,,,,,,,,,
2,10.90331706,26.07891579,13.99803664,,,,,,,,,,,,,,
3,7.060078735,15.92393924,8.854758072,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Jac,500,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,
1,24.46704204,56.38387124,31.2557838,,,,,,,,,,,,,,
2,11.10878091,23.92514249,13.72339816,,,,,,,,,,,,,,
3,7.166594502,14.43470206,8.59364925,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dice,500,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,
1,24.31740756,56.45630024,31.1180088,,,,,,,,,,,,,,
2,11.02636397,23.93580942,13.64389056,,,,,,,,,,,,,,
3,7.108243971,14.43926338,8.537390907,,,,,,,,,,,,,,
