Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-1.txt,211,185,78,1,42.16216216216216,36.96682464454976,39.39393939393939,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-1.txt,210,184,35,2,19.02173913043478,16.666666666666668,17.76649746192893,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-1.txt,209,183,27,3,14.754098360655737,12.91866028708134,13.77551020408163,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-10.txt,227,399,173,1,43.35839598997494,76.2114537444934,55.27156549520767,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-10.txt,226,398,142,2,35.678391959798994,62.83185840707964,45.51282051282051,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-10.txt,225,397,135,3,34.005037783375315,60.0,43.40836012861736,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-100.txt,236,333,189,1,56.75675675675676,80.08474576271186,66.43233743409489,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-100.txt,235,332,154,2,46.3855421686747,65.53191489361703,54.32098765432098,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-100.txt,234,331,146,3,44.10876132930514,62.39316239316239,51.681415929203546,
/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Documents/Stony Brook/2nd Sem/Comp Ling/507 Proj_Update_Report/Data/Summaries/Intell/New/Hit_TopOcc_wtout_Stop_with_Initial_weight/Doc-101.txt,258,207,207,1,100.0,80.23255813953489,89.03225806451613,
