Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-1.txt_Dice.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-1.txt_Dice.txt,220,90,17,2,18.88888888888889,7.7272727272727275,10.96774193548387,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-1.txt_Dice.txt,219,89,9,3,10.112359550561798,4.109589041095891,5.8441558441558445,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-10.txt_Dice.txt,233,191,137,1,71.72774869109948,58.798283261802574,64.62264150943396,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-10.txt_Dice.txt,232,190,111,2,58.421052631578945,47.8448275862069,52.60663507109004,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-10.txt_Dice.txt,231,189,105,3,55.55555555555556,45.45454545454545,50.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-100.txt_Dice.txt,246,228,158,1,69.29824561403508,64.22764227642277,66.66666666666666,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-100.txt_Dice.txt,245,227,124,2,54.62555066079295,50.61224489795919,52.54237288135593,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-100.txt_Dice.txt,244,226,115,3,50.88495575221239,47.131147540983605,48.93617021276596,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-101.txt_Dice.txt,258,140,125,1,89.28571428571429,48.44961240310077,62.814070351758794,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-101.txt_Dice.txt,257,139,118,2,84.89208633093526,45.91439688715953,59.59595959595959,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-101.txt_Dice.txt,256,138,113,3,81.8840579710145,44.140625,57.360406091370564,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-102.txt_Dice.txt,230,197,112,1,56.85279187817259,48.69565217391305,52.459016393442624,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-102.txt_Dice.txt,229,196,77,2,39.285714285714285,33.624454148471614,36.23529411764706,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-102.txt_Dice.txt,228,195,69,3,35.38461538461539,30.263157894736842,32.6241134751773,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-103.txt_Dice.txt,124,20,19,1,95.0,15.32258064516129,26.388888888888886,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-103.txt_Dice.txt,123,19,17,2,89.47368421052632,13.821138211382113,23.943661971830984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-103.txt_Dice.txt,122,18,15,3,83.33333333333333,12.295081967213115,21.428571428571427,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-104.txt_Dice.txt,174,283,120,1,42.40282685512368,68.96551724137932,52.5164113785558,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-104.txt_Dice.txt,173,282,86,2,30.49645390070922,49.71098265895954,37.8021978021978,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-104.txt_Dice.txt,172,281,78,3,27.75800711743772,45.348837209302324,34.437086092715234,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-105.txt_Dice.txt,229,55,54,1,98.18181818181819,23.580786026200872,38.028169014084504,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-105.txt_Dice.txt,228,54,52,2,96.29629629629629,22.80701754385965,36.87943262411348,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-105.txt_Dice.txt,227,53,50,3,94.33962264150944,22.026431718061673,35.714285714285715,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-106.txt_Dice.txt,192,95,93,1,97.89473684210526,48.4375,64.80836236933797,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-106.txt_Dice.txt,191,94,90,2,95.74468085106383,47.12041884816754,63.15789473684211,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-106.txt_Dice.txt,190,93,87,3,93.54838709677419,45.78947368421053,61.48409893992932,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-107.txt_Dice.txt,269,152,104,1,68.42105263157895,38.66171003717472,49.40617577197149,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-107.txt_Dice.txt,268,151,68,2,45.033112582781456,25.37313432835821,32.4582338902148,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-107.txt_Dice.txt,267,150,61,3,40.666666666666664,22.846441947565545,29.256594724220623,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-108.txt_Dice.txt,195,64,63,1,98.4375,32.30769230769231,48.648648648648646,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-108.txt_Dice.txt,194,63,61,2,96.82539682539682,31.443298969072163,47.47081712062257,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Dice/Doc-108.txt_Dice.txt,193,62,59,3,95.16129032258064,30.569948186528496,46.27450980392157,
