Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-1.txt_Jac.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-1.txt_Jac.txt,220,90,16,2,17.77777777777778,7.2727272727272725,10.32258064516129,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-1.txt_Jac.txt,219,89,8,3,8.98876404494382,3.65296803652968,5.194805194805194,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-10.txt_Jac.txt,233,147,105,1,71.42857142857143,45.06437768240343,55.26315789473684,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-10.txt_Jac.txt,232,146,74,2,50.68493150684932,31.896551724137932,39.15343915343915,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-10.txt_Jac.txt,231,145,68,3,46.89655172413793,29.437229437229437,36.170212765957444,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-100.txt_Jac.txt,246,228,158,1,69.29824561403508,64.22764227642277,66.66666666666666,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-100.txt_Jac.txt,245,227,123,2,54.18502202643172,50.204081632653065,52.11864406779661,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-100.txt_Jac.txt,244,226,115,3,50.88495575221239,47.131147540983605,48.93617021276596,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-101.txt_Jac.txt,258,140,125,1,89.28571428571429,48.44961240310077,62.814070351758794,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-101.txt_Jac.txt,257,139,118,2,84.89208633093526,45.91439688715953,59.59595959595959,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Jac/Doc-101.txt_Jac.txt,256,138,113,3,81.8840579710145,44.140625,57.360406091370564,
