Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-1.txt_Rada.txt,221,117,73,1,62.39316239316239,33.0316742081448,43.19526627218935,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-1.txt_Rada.txt,220,116,51,2,43.96551724137931,23.181818181818183,30.35714285714286,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-1.txt_Rada.txt,219,115,47,3,40.869565217391305,21.461187214611872,28.143712574850298,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-10.txt_Rada.txt,233,209,140,1,66.98564593301435,60.08583690987125,63.34841628959276,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-10.txt_Rada.txt,232,208,110,2,52.88461538461539,47.41379310344828,50.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-10.txt_Rada.txt,231,207,104,3,50.24154589371981,45.02164502164502,47.48858447488585,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-100.txt_Rada.txt,246,257,184,1,71.59533073929961,74.79674796747967,73.1610337972167,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-100.txt_Rada.txt,245,256,153,2,59.765625,62.44897959183673,61.07784431137725,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-100.txt_Rada.txt,244,255,145,3,56.86274509803921,59.42622950819672,58.11623246492985,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-101.txt_Rada.txt,258,151,133,1,88.0794701986755,51.55038759689923,65.03667481662592,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-101.txt_Rada.txt,257,150,122,2,81.33333333333333,47.47081712062257,59.95085995085994,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-101.txt_Rada.txt,256,149,114,3,76.51006711409396,44.53125,56.2962962962963,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-102.txt_Rada.txt,230,220,107,1,48.63636363636363,46.52173913043478,47.555555555555564,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-102.txt_Rada.txt,229,219,63,2,28.767123287671232,27.510917030567686,28.125,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-102.txt_Rada.txt,228,218,54,3,24.770642201834864,23.68421052631579,24.2152466367713,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-103.txt_Rada.txt,124,20,19,1,95.0,15.32258064516129,26.388888888888886,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-103.txt_Rada.txt,123,19,17,2,89.47368421052632,13.821138211382113,23.943661971830984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-103.txt_Rada.txt,122,18,15,3,83.33333333333333,12.295081967213115,21.428571428571427,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-104.txt_Rada.txt,174,317,116,1,36.59305993690852,66.66666666666667,47.25050916496945,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-104.txt_Rada.txt,173,316,79,2,25.0,45.664739884393065,32.31083844580777,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-104.txt_Rada.txt,172,315,73,3,23.174603174603174,42.44186046511628,29.979466119096507,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-105.txt_Rada.txt,229,93,92,1,98.9247311827957,40.17467248908297,57.14285714285715,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-105.txt_Rada.txt,228,92,89,2,96.73913043478261,39.03508771929825,55.62499999999999,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-105.txt_Rada.txt,227,91,86,3,94.50549450549451,37.88546255506608,54.088050314465406,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-106.txt_Rada.txt,192,95,93,1,97.89473684210526,48.4375,64.80836236933797,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-106.txt_Rada.txt,191,94,90,2,95.74468085106383,47.12041884816754,63.15789473684211,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-106.txt_Rada.txt,190,93,87,3,93.54838709677419,45.78947368421053,61.48409893992932,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-107.txt_Rada.txt,269,314,157,1,50.0,58.36431226765799,53.85934819897084,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-107.txt_Rada.txt,268,313,110,2,35.14376996805112,41.04477611940298,37.8657487091222,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-107.txt_Rada.txt,267,312,100,3,32.05128205128205,37.453183520599254,34.54231433506045,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-108.txt_Rada.txt,195,64,63,1,98.4375,32.30769230769231,48.648648648648646,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-108.txt_Rada.txt,194,63,61,2,96.82539682539682,31.443298969072163,47.47081712062257,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-108.txt_Rada.txt,193,62,59,3,95.16129032258064,30.569948186528496,46.27450980392157,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-109.txt_Rada.txt,191,441,151,1,34.240362811791385,79.05759162303664,47.78481012658228,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-109.txt_Rada.txt,190,440,106,2,24.09090909090909,55.78947368421053,33.65079365079365,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-109.txt_Rada.txt,189,439,96,3,21.867881548974943,50.79365079365079,30.57324840764331,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-11.txt_Rada.txt,194,128,108,1,84.375,55.670103092783506,67.0807453416149,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-11.txt_Rada.txt,193,127,88,2,69.29133858267717,45.59585492227979,55.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-11.txt_Rada.txt,192,126,85,3,67.46031746031746,44.270833333333336,53.45911949685535,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-110.txt_Rada.txt,240,245,134,1,54.69387755102041,55.833333333333336,55.25773195876289,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NAV_Rada/Doc-110.txt_Rada.txt,239,244,96,2,39.34426229508197,40.1673640167364,39.75155279503106,
