Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-1.txt_Dice.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-1.txt_Dice.txt,220,90,17,2,18.88888888888889,7.7272727272727275,10.96774193548387,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-1.txt_Dice.txt,219,89,9,3,10.112359550561798,4.109589041095891,5.8441558441558445,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-10.txt_Dice.txt,233,174,105,1,60.3448275862069,45.06437768240343,51.5970515970516,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-10.txt_Dice.txt,232,173,73,2,42.19653179190752,31.46551724137931,36.04938271604939,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-10.txt_Dice.txt,231,172,68,3,39.53488372093023,29.437229437229437,33.74689826302729,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-100.txt_Dice.txt,246,204,171,1,83.82352941176471,69.51219512195122,76.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-100.txt_Dice.txt,245,203,152,2,74.8768472906404,62.04081632653061,67.85714285714286,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-100.txt_Dice.txt,244,202,146,3,72.27722772277228,59.83606557377049,65.47085201793723,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-101.txt_Dice.txt,258,135,109,1,80.74074074074075,42.248062015503876,55.470737913486005,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-101.txt_Dice.txt,257,134,95,2,70.8955223880597,36.96498054474708,48.59335038363171,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-101.txt_Dice.txt,256,133,88,3,66.16541353383458,34.375,45.24421593830334,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Dice/Doc-102.txt_Dice.txt,230,222,139,1,62.612612612612615,60.43478260869565,61.50442477876106,
