Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-1.txt_Jac.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-1.txt_Jac.txt,220,90,16,2,17.77777777777778,7.2727272727272725,10.32258064516129,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-1.txt_Jac.txt,219,89,8,3,8.98876404494382,3.65296803652968,5.194805194805194,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-10.txt_Jac.txt,233,143,97,1,67.83216783216783,41.63090128755365,51.59574468085106,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-10.txt_Jac.txt,232,142,72,2,50.70422535211268,31.03448275862069,38.50267379679145,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-10.txt_Jac.txt,231,141,68,3,48.226950354609926,29.437229437229437,36.55913978494623,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-100.txt_Jac.txt,246,177,144,1,81.35593220338983,58.53658536585366,68.08510638297872,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-100.txt_Jac.txt,245,176,122,2,69.31818181818181,49.795918367346935,57.95724465558195,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-100.txt_Jac.txt,244,175,115,3,65.71428571428571,47.131147540983605,54.8926014319809,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-101.txt_Jac.txt,258,135,109,1,80.74074074074075,42.248062015503876,55.470737913486005,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-101.txt_Jac.txt,257,134,95,2,70.8955223880597,36.96498054474708,48.59335038363171,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-101.txt_Jac.txt,256,133,88,3,66.16541353383458,34.375,45.24421593830334,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-102.txt_Jac.txt,230,224,155,1,69.19642857142857,67.3913043478261,68.28193832599119,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-102.txt_Jac.txt,229,223,124,2,55.60538116591928,54.148471615720524,54.86725663716814,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-102.txt_Jac.txt,228,222,114,3,51.351351351351354,50.0,50.666666666666664,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-103.txt_Jac.txt,124,20,19,1,95.0,15.32258064516129,26.388888888888886,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-103.txt_Jac.txt,123,19,17,2,89.47368421052632,13.821138211382113,23.943661971830984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-103.txt_Jac.txt,122,18,15,3,83.33333333333333,12.295081967213115,21.428571428571427,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-104.txt_Jac.txt,174,278,127,1,45.68345323741007,72.98850574712644,56.19469026548673,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-104.txt_Jac.txt,173,277,95,2,34.29602888086642,54.91329479768786,42.22222222222222,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-104.txt_Jac.txt,172,276,85,3,30.797101449275363,49.41860465116279,37.94642857142857,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-105.txt_Jac.txt,229,46,45,1,97.82608695652173,19.650655021834062,32.727272727272734,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-105.txt_Jac.txt,228,45,43,2,95.55555555555556,18.859649122807017,31.5018315018315,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-105.txt_Jac.txt,227,44,41,3,93.18181818181819,18.061674008810574,30.258302583025834,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-106.txt_Jac.txt,192,95,93,1,97.89473684210526,48.4375,64.80836236933797,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-106.txt_Jac.txt,191,94,90,2,95.74468085106383,47.12041884816754,63.15789473684211,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-106.txt_Jac.txt,190,93,87,3,93.54838709677419,45.78947368421053,61.48409893992932,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-107.txt_Jac.txt,269,131,83,1,63.3587786259542,30.855018587360593,41.5,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-107.txt_Jac.txt,268,130,49,2,37.69230769230769,18.28358208955224,24.62311557788945,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-107.txt_Jac.txt,267,129,42,3,32.55813953488372,15.730337078651685,21.21212121212121,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-108.txt_Jac.txt,195,64,63,1,98.4375,32.30769230769231,48.648648648648646,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-108.txt_Jac.txt,194,63,61,2,96.82539682539682,31.443298969072163,47.47081712062257,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-108.txt_Jac.txt,193,62,59,3,95.16129032258064,30.569948186528496,46.27450980392157,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-109.txt_Jac.txt,191,376,159,1,42.287234042553195,83.24607329842932,56.08465608465608,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-109.txt_Jac.txt,190,375,132,2,35.2,69.47368421052632,46.72566371681417,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Jac/Doc-109.txt_Jac.txt,189,374,123,3,32.88770053475936,65.07936507936508,43.69449378330373,
