Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-1.txt_Rada.txt,221,111,57,1,51.351351351351354,25.79185520361991,34.33734939759036,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-1.txt_Rada.txt,220,110,31,2,28.181818181818183,14.090909090909092,18.78787878787879,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-1.txt_Rada.txt,219,109,25,3,22.93577981651376,11.415525114155251,15.243902439024389,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-10.txt_Rada.txt,233,209,140,1,66.98564593301435,60.08583690987125,63.34841628959276,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-10.txt_Rada.txt,232,208,110,2,52.88461538461539,47.41379310344828,50.0,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-10.txt_Rada.txt,231,207,104,3,50.24154589371981,45.02164502164502,47.48858447488585,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-100.txt_Rada.txt,246,257,184,1,71.59533073929961,74.79674796747967,73.1610337972167,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-100.txt_Rada.txt,245,256,153,2,59.765625,62.44897959183673,61.07784431137725,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-100.txt_Rada.txt,244,255,145,3,56.86274509803921,59.42622950819672,58.11623246492985,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-101.txt_Rada.txt,258,151,133,1,88.0794701986755,51.55038759689923,65.03667481662592,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-101.txt_Rada.txt,257,150,122,2,81.33333333333333,47.47081712062257,59.95085995085994,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-101.txt_Rada.txt,256,149,114,3,76.51006711409396,44.53125,56.2962962962963,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-102.txt_Rada.txt,230,222,139,1,62.612612612612615,60.43478260869565,61.50442477876106,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-102.txt_Rada.txt,229,221,103,2,46.60633484162896,44.97816593886463,45.77777777777777,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-102.txt_Rada.txt,228,220,93,3,42.27272727272727,40.78947368421053,41.517857142857146,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-103.txt_Rada.txt,124,20,19,1,95.0,15.32258064516129,26.388888888888886,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-103.txt_Rada.txt,123,19,17,2,89.47368421052632,13.821138211382113,23.943661971830984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-103.txt_Rada.txt,122,18,15,3,83.33333333333333,12.295081967213115,21.428571428571427,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-104.txt_Rada.txt,174,340,142,1,41.76470588235294,81.60919540229885,55.252918287937746,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-104.txt_Rada.txt,173,339,116,2,34.21828908554572,67.05202312138728,45.3125,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-104.txt_Rada.txt,172,338,106,3,31.36094674556213,61.627906976744185,41.568627450980394,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-105.txt_Rada.txt,229,55,54,1,98.18181818181819,23.580786026200872,38.028169014084504,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-105.txt_Rada.txt,228,54,52,2,96.29629629629629,22.80701754385965,36.87943262411348,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-105.txt_Rada.txt,227,53,50,3,94.33962264150944,22.026431718061673,35.714285714285715,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-106.txt_Rada.txt,192,95,93,1,97.89473684210526,48.4375,64.80836236933797,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-106.txt_Rada.txt,191,94,90,2,95.74468085106383,47.12041884816754,63.15789473684211,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-106.txt_Rada.txt,190,93,87,3,93.54838709677419,45.78947368421053,61.48409893992932,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-107.txt_Rada.txt,269,314,157,1,50.0,58.36431226765799,53.85934819897084,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-107.txt_Rada.txt,268,313,110,2,35.14376996805112,41.04477611940298,37.8657487091222,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-107.txt_Rada.txt,267,312,100,3,32.05128205128205,37.453183520599254,34.54231433506045,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-108.txt_Rada.txt,195,64,63,1,98.4375,32.30769230769231,48.648648648648646,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-108.txt_Rada.txt,194,63,61,2,96.82539682539682,31.443298969072163,47.47081712062257,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-108.txt_Rada.txt,193,62,59,3,95.16129032258064,30.569948186528496,46.27450980392157,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-109.txt_Rada.txt,191,392,163,1,41.58163265306123,85.34031413612566,55.91766723842196,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-109.txt_Rada.txt,190,391,134,2,34.271099744245525,70.52631578947368,46.12736660929433,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-109.txt_Rada.txt,189,390,124,3,31.794871794871796,65.60846560846561,42.83246977547496,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-11.txt_Rada.txt,194,124,120,1,96.7741935483871,61.855670103092784,75.47169811320755,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NA_Rada/Doc-11.txt_Rada.txt,193,123,117,2,95.1219512195122,60.62176165803109,74.0506329113924,
