Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-1.txt_Dice.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-1.txt_Dice.txt,220,90,17,2,18.88888888888889,7.7272727272727275,10.96774193548387,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-1.txt_Dice.txt,219,89,9,3,10.112359550561798,4.109589041095891,5.8441558441558445,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-10.txt_Dice.txt,233,158,107,1,67.72151898734177,45.92274678111588,54.731457800511514,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-10.txt_Dice.txt,232,157,79,2,50.318471337579616,34.05172413793103,40.61696658097686,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-10.txt_Dice.txt,231,156,71,3,45.51282051282051,30.735930735930737,36.69250645994832,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-100.txt_Dice.txt,246,236,159,1,67.37288135593221,64.63414634146342,65.97510373443983,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-100.txt_Dice.txt,245,235,122,2,51.91489361702128,49.795918367346935,50.83333333333333,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-100.txt_Dice.txt,244,234,115,3,49.14529914529915,47.131147540983605,48.11715481171548,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-101.txt_Dice.txt,258,132,107,1,81.06060606060606,41.47286821705426,54.87179487179486,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-101.txt_Dice.txt,257,131,95,2,72.51908396946565,36.96498054474708,48.96907216494845,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-101.txt_Dice.txt,256,130,88,3,67.6923076923077,34.375,45.5958549222798,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Dice/Doc-102.txt_Dice.txt,230,180,95,1,52.77777777777778,41.30434782608695,46.34146341463414,
