Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-1.txt_Jac.txt,221,91,42,1,46.15384615384615,19.004524886877828,26.923076923076923,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-1.txt_Jac.txt,220,90,16,2,17.77777777777778,7.2727272727272725,10.32258064516129,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-1.txt_Jac.txt,219,89,8,3,8.98876404494382,3.65296803652968,5.194805194805194,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-10.txt_Jac.txt,233,166,105,1,63.25301204819277,45.06437768240343,52.63157894736842,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-10.txt_Jac.txt,232,165,75,2,45.45454545454545,32.327586206896555,37.783375314861466,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-10.txt_Jac.txt,231,164,69,3,42.073170731707314,29.87012987012987,34.936708860759495,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-100.txt_Jac.txt,246,212,154,1,72.64150943396227,62.60162601626016,67.24890829694323,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-100.txt_Jac.txt,245,211,123,2,58.29383886255924,50.204081632653065,53.94736842105263,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-100.txt_Jac.txt,244,210,115,3,54.76190476190476,47.131147540983605,50.66079295154185,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Jac/Doc-101.txt_Jac.txt,258,132,107,1,81.06060606060606,41.47286821705426,54.87179487179486,
