Reference Summary Path,Our Summary Path, Total_Words_Reference, Total_Words_Our, Match, N, Precision, Recall, FMeasure
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-1.txt_Rada.txt,221,117,73,1,62.39316239316239,33.0316742081448,43.19526627218935,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-1.txt_Rada.txt,220,116,51,2,43.96551724137931,23.181818181818183,30.35714285714286,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-1-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-1.txt_Rada.txt,219,115,47,3,40.869565217391305,21.461187214611872,28.143712574850298,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-10.txt_Rada.txt,233,191,137,1,71.72774869109948,58.798283261802574,64.62264150943396,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-10.txt_Rada.txt,232,190,110,2,57.89473684210526,47.41379310344828,52.132701421800945,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-10-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-10.txt_Rada.txt,231,189,104,3,55.026455026455025,45.02164502164502,49.523809523809526,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-100.txt_Rada.txt,246,236,158,1,66.94915254237289,64.22764227642277,65.56016597510373,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-100.txt_Rada.txt,245,235,121,2,51.48936170212766,49.38775510204081,50.41666666666666,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-100-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-100.txt_Rada.txt,244,234,114,3,48.717948717948715,46.721311475409834,47.69874476987448,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-101.txt_Rada.txt,258,151,133,1,88.0794701986755,51.55038759689923,65.03667481662592,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-101.txt_Rada.txt,257,150,122,2,81.33333333333333,47.47081712062257,59.95085995085994,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-101-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-101.txt_Rada.txt,256,149,114,3,76.51006711409396,44.53125,56.2962962962963,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-102.txt_Rada.txt,230,213,116,1,54.460093896713616,50.43478260869565,52.37020316027088,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-102.txt_Rada.txt,229,212,78,2,36.79245283018868,34.06113537117904,35.374149659863946,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-102-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-102.txt_Rada.txt,228,211,68,3,32.22748815165877,29.82456140350877,30.979498861047833,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-103.txt_Rada.txt,124,20,19,1,95.0,15.32258064516129,26.388888888888886,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-103.txt_Rada.txt,123,19,17,2,89.47368421052632,13.821138211382113,23.943661971830984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-103-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-103.txt_Rada.txt,122,18,15,3,83.33333333333333,12.295081967213115,21.428571428571427,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-104.txt_Rada.txt,174,317,116,1,36.59305993690852,66.66666666666667,47.25050916496945,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-104.txt_Rada.txt,173,316,79,2,25.0,45.664739884393065,32.31083844580777,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-104-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-104.txt_Rada.txt,172,315,73,3,23.174603174603174,42.44186046511628,29.979466119096507,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-105.txt_Rada.txt,229,93,92,1,98.9247311827957,40.17467248908297,57.14285714285715,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-105.txt_Rada.txt,228,92,89,2,96.73913043478261,39.03508771929825,55.62499999999999,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-105-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-105.txt_Rada.txt,227,91,86,3,94.50549450549451,37.88546255506608,54.088050314465406,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-106.txt_Rada.txt,192,95,93,1,97.89473684210526,48.4375,64.80836236933797,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-106.txt_Rada.txt,191,94,90,2,95.74468085106383,47.12041884816754,63.15789473684211,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-106-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-106.txt_Rada.txt,190,93,87,3,93.54838709677419,45.78947368421053,61.48409893992932,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-107.txt_Rada.txt,269,314,157,1,50.0,58.36431226765799,53.85934819897084,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-107.txt_Rada.txt,268,313,110,2,35.14376996805112,41.04477611940298,37.8657487091222,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-107-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-107.txt_Rada.txt,267,312,100,3,32.05128205128205,37.453183520599254,34.54231433506045,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-108.txt_Rada.txt,195,64,63,1,98.4375,32.30769230769231,48.648648648648646,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-108.txt_Rada.txt,194,63,61,2,96.82539682539682,31.443298969072163,47.47081712062257,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-108-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-108.txt_Rada.txt,193,62,59,3,95.16129032258064,30.569948186528496,46.27450980392157,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-109.txt_Rada.txt,191,425,149,1,35.05882352941177,78.01047120418848,48.37662337662338,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-109.txt_Rada.txt,190,424,107,2,25.235849056603772,56.31578947368421,34.85342019543973,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-109-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-109.txt_Rada.txt,189,423,96,3,22.69503546099291,50.79365079365079,31.372549019607845,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-11.txt_Rada.txt,194,135,108,1,80.0,55.670103092783506,65.65349544072949,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-11.txt_Rada.txt,193,134,88,2,65.67164179104478,45.59585492227979,53.82262996941896,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-11-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-11.txt_Rada.txt,192,133,84,3,63.1578947368421,43.75,51.692307692307686,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-110.txt_Rada.txt,240,255,151,1,59.21568627450981,62.916666666666664,61.01010101010101,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-110.txt_Rada.txt,239,254,116,2,45.669291338582674,48.53556485355649,47.05882352941176,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-110-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-110.txt_Rada.txt,238,253,110,3,43.47826086956522,46.21848739495798,44.806517311608964,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-111.txt_Rada.txt,109,16,16,1,100.0,14.678899082568808,25.6,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-111.txt_Rada.txt,108,15,15,2,100.0,13.88888888888889,24.390243902439025,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-111-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-111.txt_Rada.txt,107,14,14,3,100.0,13.08411214953271,23.140495867768596,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-112.txt_Rada.txt,222,151,98,1,64.90066225165563,44.14414414414414,52.546916890080425,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-112.txt_Rada.txt,221,150,75,2,50.0,33.93665158371041,40.43126684636118,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-112-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-112.txt_Rada.txt,220,149,70,3,46.97986577181208,31.818181818181817,37.94037940379403,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-113.txt_Rada.txt,296,156,151,1,96.7948717948718,51.013513513513516,66.8141592920354,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-113.txt_Rada.txt,295,155,145,2,93.54838709677419,49.152542372881356,64.44444444444446,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-113-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-113.txt_Rada.txt,294,154,139,3,90.25974025974025,47.27891156462585,62.05357142857143,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-114-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-114.txt_Rada.txt,236,170,102,1,60.0,43.220338983050844,50.2463054187192,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-114-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-114.txt_Rada.txt,235,169,66,2,39.053254437869825,28.085106382978722,32.67326732673267,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-114-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-114.txt_Rada.txt,234,168,53,3,31.547619047619047,22.64957264957265,26.3681592039801,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-116.txt_Rada.txt,146,53,52,1,98.11320754716981,35.61643835616438,52.26130653266331,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-116.txt_Rada.txt,145,52,50,2,96.15384615384616,34.48275862068966,50.76142131979696,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-116-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-116.txt_Rada.txt,144,51,48,3,94.11764705882354,33.333333333333336,49.230769230769226,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-117.txt_Rada.txt,246,82,80,1,97.5609756097561,32.520325203252035,48.78048780487805,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-117.txt_Rada.txt,245,81,77,2,95.06172839506173,31.428571428571427,47.239263803680984,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-117-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-117.txt_Rada.txt,244,80,74,3,92.5,30.327868852459016,45.679012345679006,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-118.txt_Rada.txt,280,410,134,1,32.68292682926829,47.857142857142854,38.84057971014492,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-118.txt_Rada.txt,279,409,41,2,10.02444987775061,14.695340501792115,11.91860465116279,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-118-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-118.txt_Rada.txt,278,408,23,3,5.637254901960785,8.273381294964029,6.705539358600584,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-119-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-119.txt_Rada.txt,232,114,84,1,73.6842105263158,36.206896551724135,48.55491329479768,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-119-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-119.txt_Rada.txt,231,113,79,2,69.91150442477876,34.1991341991342,45.93023255813954,
/Users/himanshujindal/Downloads/Summaries_BenchMark/Intell/Summaries/Summary-119-1.txt,/Users/himanshujindal/Downloads/Summaries/Intell/NV_Rada/Doc-119.txt_Rada.txt,230,112,75,3,66.96428571428571,32.608695652173914,43.859649122807014,
