Cos,500,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,71.53394299,56.34621317,57.28702963,,,,,,,,,,,,,,,,
2,62.9845178,47.0945458,48.8512892,,,,,,,,,,,,,,,,
3,60.44811556,44.51323413,46.43304016,,,,,Hub Scores,,,Authority Scores,,,Dice,,,Cos,,
,,,,,,,N,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure,Precision,Recall,FMeasure
,,,,,,,1,70.96%,48.86%,52.19%,69.80%,56.92%,57.38%,72.10%,50.80%,54.10%,71.53%,56.35%,57.29%
Hub,500,,,,,,2,60.88%,39.26%,42.88%,61.29%,47.38%,48.81%,57%,39.10%,42.40%,63%,47.09%,48.85%
n,avgprec,avgrec,avgfmeas,,,,3,58.07%,36.81%,40.41%,58.80%,44.79%,46.41%,53.10%,35.70%,39.30%,60.45%,44.51%,46.43%
1,70.95762951,48.85541427,52.18510609,,,,,,,,,,,,,,,,
2,60.87875234,39.25959288,42.87928123,,,,,,,,,,,,,,,,
3,58.06810254,36.81190781,40.41307453,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cat,500,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,69.79959446,56.91559619,57.37815598,,,,,,,,,,,,,,,,
2,61.28837652,47.37862883,48.81340986,,,,,,,,,,,,,,,,
3,58.80470051,44.78989527,46.40954736,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Rada,500,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,70.26583733,55.96757723,56.67356284,,,,,,,,,,,,,,,,
2,61.42119416,46.18349784,47.8278773,,,,,,,,,,,,,,,,
3,58.86948877,43.55636972,45.36761809,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jac,500,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,71.79646623,51.77833163,54.92563462,,,,,,,,,,,,,,,,
2,61.93824912,42.12329363,45.64705776,,,,,,,,,,,,,,,,
3,59.16736492,39.5661741,43.12066011,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Dice,500,,,,,,,,,,,,,,,,,,
n,avgprec,avgrec,avgfmeas,,,,,,,,,,,,,,,,
1,71.67915937,52.59035118,55.31665434,,,,,,,,,,,,,,,,
2,61.99453396,42.9025561,46.09994423,,,,,,,,,,,,,,,,
3,59.24074918,40.32670631,43.57239526,,,,,,,,,,,,,,,,
