

NA_Jac
n,avgprec,avgrec,avgfmeas
1,72.45090282496413,46.05263297435425,51.48136511813807,
2,61.09649208065745,36.24138874423685,41.4851254686947,
3,57.69750166582903,33.507093840802746,38.60877876425696,


NV_Jac
n,avgprec,avgrec,avgfmeas
1,71.13106198462276,44.73942390752082,50.23494264877644,
2,59.285449995821956,34.492299584961955,39.80551644110863,
3,55.89643890370953,31.782032487125594,36.94859967886465,


NAV_Jac
n,avgprec,avgrec,avgfmeas
1,71.52196075884484,45.14299999219357,50.72111899181905,
2,59.69506776248346,34.83924638958089,40.2575854736676,
3,56.34393337883653,32.13420213978811,37.41863661261151,


NA_Dice
n,avgprec,avgrec,avgfmeas
1,72.36069390188759,46.716540317364235,51.8227566584819,
2,61.131157148531045,36.84121874600333,41.84809445024611,
3,57.73434395760199,34.070632688437776,38.954418052894184,


NV_Dice
n,avgprec,avgrec,avgfmeas
1,71.25790921687609,45.58402601370497,50.783109228082395,
2,59.615211378885284,35.27549147635959,40.38140362247981,
3,56.281704601859246,32.55338086060587,37.535899092133164,


NAV_Dice
n,avgprec,avgrec,avgfmeas
1,71.60367255050608,45.82008499053413,51.17049368120139,
2,59.98928846827037,35.47736051844253,40.76407527871153,
3,56.64840038121011,32.73246292417299,37.90308915331185,


NA_Rada
n,avgprec,avgrec,avgfmeas
1,71.3506939173814,49.66704648807996,53.34956323227861,
2,60.75470488918173,39.408262328460985,43.42789258099783,
3,57.57231057747887,36.55619061984662,40.57249270500668,


NV_Rada
n,avgprec,avgrec,avgfmeas
1,70.82082044419928,49.35223275574198,52.97163516120232,
2,60.10989633560739,38.741759937713354,42.83463283656399,
3,56.9454889446897,35.88733639340223,39.99007861526225,


NAV_Rada
n,avgprec,avgrec,avgfmeas
1,70.56088509780292,49.58208581779045,52.98836235165644,
2,59.78685834161614,38.8066606694961,42.72678500523642,
3,56.65507131529402,35.93751344425586,39.88590409654596,
